sku,qty,is_in_stock
125281,0,0
125282,0,0
125283,0,0
125284,0,0
125285,0,0
125286,0,0
125287,0,0
125288,0,0
125289,0,0
125290,0,0
125291,0,0
125292,0,0
125293,0,0
125294,0,0
125295,0,0
125296,0,0
125297,0,0
125298,0,0
125299,0,0
125300,0,0
125301,9,1
125302,0,0
125303,0,0
125304,0,0
125305,0,0
125306,0,0
125307,0,0
125308,0,0
125309,0,0
125310,0,0
125311,0,0
125312,0,0
125313,0,0
125314,0,0
125315,0,0
125316,0,0
125317,0,0
125318,3,1
125319,0,0
125320,0,0
125321,0,0
125322,0,0
125323,0,0
125324,0,0
125325,0,0
125326,0,0
125327,0,0
125328,1,1
125329,0,0
125330,0,0
125331,0,0
125332,0,0
125333,0,0
125334,0,0
125335,0,0
125336,0,0
125337,0,0
125338,0,0
125339,0,0
125340,0,0
125341,0,0
125342,0,0
125343,0,0
125344,0,0
125345,22,1
125346,5,1
125347,4,1
125348,11,1
125349,0,0
125350,0,0
125351,0,0
125352,0,0
125353,0,0
125354,0,0
125355,0,0
125356,0,0
125357,0,0
125358,0,0
125359,16,1
125360,9,1
125361,0,0
125362,0,0
125363,3,1
125364,3,1
125365,3,1
125366,0,0
125367,0,0
125368,0,0
125369,0,0
125370,0,0
125371,0,0
125373,0,0
125374,0,0
125375,0,0
125376,0,0
125377,0,0
125378,0,0
125379,0,0
125380,3,1
125381,0,0
125382,0,0
125383,0,0
125384,0,0
125385,0,0
125386,0,0
125387,4,1
125388,0,0
125389,3,1
125390,0,0
125391,0,0
125392,0,0
125393,0,0
125394,0,0
125395,0,0
125396,0,0
125397,0,0
125398,0,0
125399,0,0
125400,0,0
125401,4,1
125402,0,0
125403,0,0
125404,6,1
125405,0,0
125406,0,0
125407,0,0
125408,3,1
125409,2,1
125410,0,0
125411,0,0
125412,0,0
125413,0,0
125414,0,0
125415,0,0
125416,0,0
125417,0,0
125418,0,0
125419,0,0
125420,0,0
125421,0,0
125422,0,0
125423,0,0
125424,0,0
125425,0,0
125426,5,1
125427,0,0
125428,0,0
125429,0,0
125430,0,0
125431,0,0
125432,0,0
125433,3,1
125434,0,0
125435,3,1
125436,0,0
125437,1,1
125438,8,1
125439,0,0
125440,0,0
125441,0,0
125442,0,0
125443,0,0
125444,0,0
125445,0,0
125446,0,0
125447,0,0
125448,0,0
125449,0,0
125450,6,1
125451,0,0
125452,0,0
125453,2,1
125454,0,0
125455,0,0
125456,0,0
125457,0,0
125458,0,0
125459,3,1
125460,3,1
125461,0,0
125462,0,0
125463,0,0
125464,0,0
125465,0,0
125466,0,0
125467,6,1
125468,0,0
125469,0,0
125470,0,0
125471,0,0
125472,0,0
125473,0,0
125474,0,0
125475,0,0
125476,0,0
125477,0,0
125478,36,1
125479,56,1
125480,1,1
125481,22,1
125482,0,0
125483,0,0
125484,0,0
125485,0,0
125486,0,0
125487,0,0
125488,0,0
125489,19,1
125490,0,0
125491,0,0
125492,19,1
125493,0,0
125494,0,0
125495,0,0
125496,0,0
125497,4,1
125498,0,0
125499,23,1
125500,3,1
125501,0,0
125502,13,1
125503,24,1
125504,40,1
125505,0,0
125506,13,1
125507,26,1
125508,3,1
125509,23,1
125510,0,0
125511,16,1
125512,0,0
125513,3,1
125514,0,0
125515,0,0
125516,2,1
125517,23,1
125518,0,0
125519,0,0
125520,0,0
125521,0,0
125522,57,1
125523,0,0
125524,0,0
125525,0,0
125526,3,1
125527,30,1
125528,0,0
125529,21,1
125530,0,0
125531,0,0
125532,12,1
125533,3,1
125534,0,0
125535,0,0
125536,0,0
125537,0,0
125538,0,0
125539,0,0
125540,0,0
125541,0,0
125542,0,0
125543,0,0
125544,0,0
125545,0,0
125546,0,0
125547,0,0
125548,0,0
125549,0,0
125551,0,0
125553,0,0
125556,0,0
125557,0,0
125558,0,0
125559,0,0
125560,0,0
125561,0,0
125562,5,1
125564,3,1
125565,0,0
125566,0,0
126308,0,0
126309,0,0
126310,0,0
126311,0,0
126312,0,0
127137,0,0
127138,0,0
127139,0,0
127140,0,0
127141,0,0
127142,0,0
127143,0,0
127144,0,0
127145,0,0
127146,0,0
127147,0,0
127148,0,0
127149,0,0
127150,0,0
127151,0,0
127152,0,0
127153,0,0
127154,0,0
127155,0,0
127156,0,0
127157,0,0
127158,0,0
127159,0,0
127160,0,0
127161,0,0
127162,0,0
127163,0,0
127164,0,0
127165,0,0
127166,0,0
127167,0,0
127168,0,0
127169,0,0
127170,0,0
127171,0,0
127172,0,0
127173,1,1
127174,0,0
127175,0,0
127176,0,0
